order_id,date,customer_id,status,region,channel
1,2025-05-26,1608,cancelled,West,Website
2,2025-03-12,3421,completed,North,Retail
3,2025-07-07,8824,completed,North,Website
4,2025-01-19,6885,completed,East,Marketplace
5,2026-06-13,4447,cancelled,Central,Marketplace
6,2025-04-22,196,completed,South,B2B
7,2026-08-10,2104,completed,North,Retail
8,2026-03-13,2888,completed,East,B2B
9,2025-01-18,1921,completed,North,Marketplace
10,2025-01-26,1723,completed,West,Website
11,2026-02-08,3805,completed,North,Retail
12,2025-02-19,8930,completed,South,Marketplace
13,2025-03-14,9644,completed,Central,B2B
14,2025-07-18,4047,completed,Central,Website
15,2025-09-10,608,completed,South,Retail
16,2026-05-03,4258,completed,West,B2B
17,2025-10-24,2664,completed,East,Retail
18,2025-12-09,6861,completed,Central,Retail
19,2026-04-10,5543,completed,West,B2B
20,2025-02-06,1996,completed,North,Marketplace
21,2025-07-27,7635,cancelled,South,Retail
22,2025-06-03,2001,completed,Central,Retail
23,2025-01-14,4804,completed,Central,Marketplace
24,2026-01-20,2999,processing,North,Retail
25,2025-08-14,5398,completed,East,Website
26,2025-06-25,1204,completed,North,Marketplace
27,2025-02-21,7179,shipped,West,Retail
28,2026-05-12,5456,completed,South,Marketplace
29,2025-12-06,7397,completed,Central,Website
30,2026-08-21,7190,completed,South,Retail
31,2026-07-23,8531,shipped,West,Website
32,2025-11-25,9737,shipped,West,Marketplace
33,2025-06-02,6213,completed,South,Marketplace
34,2025-09-01,3349,completed,South,Marketplace
35,2026-04-09,3422,shipped,West,Marketplace
36,2025-03-25,7595,completed,East,Marketplace
37,2026-08-20,1057,completed,North,Website
38,2025-11-11,875,processing,Central,Retail
39,2026-03-08,8087,cancelled,South,Retail
40,2025-04-17,6006,completed,North,Website
41,2026-07-19,4451,completed,East,Retail
42,2025-01-02,1450,cancelled,Central,B2B
43,2025-04-22,7506,completed,East,B2B
44,2025-02-04,7656,shipped,West,Retail
45,2025-08-23,2771,completed,West,Retail
46,2025-09-12,2138,shipped,Central,Website
47,2026-05-21,5346,processing,West,Website
48,2025-02-28,4814,completed,East,Retail
49,2025-06-26,4073,cancelled,East,B2B
50,2025-12-05,3953,completed,Central,Website
51,2026-03-17,6056,shipped,West,Marketplace
52,2025-08-04,4058,shipped,Central,Marketplace
53,2026-08-06,3414,completed,Central,Marketplace
54,2026-02-11,4076,processing,East,Retail
55,2026-04-18,9526,shipped,East,Website
56,2025-10-21,2526,completed,South,Retail
57,2026-08-10,4050,completed,West,Retail
58,2026-04-04,4261,completed,South,Marketplace
59,2025-11-23,2527,completed,East,Marketplace
60,2025-08-09,4603,completed,North,Website
61,2025-05-07,7506,completed,East,Marketplace
62,2026-06-21,5461,completed,West,Website
63,2025-07-23,236,completed,Central,Retail
64,2026-08-13,7419,shipped,South,Retail
65,2025-06-05,7524,completed,East,B2B
66,2025-12-01,5105,completed,Central,B2B
67,2026-03-16,8971,completed,North,Retail
68,2025-06-29,2996,completed,West,Retail
69,2026-07-14,8850,completed,East,Website
70,2026-07-19,5174,cancelled,North,Marketplace
71,2025-08-06,4186,completed,West,Retail
72,2025-04-14,9124,completed,Central,Marketplace
73,2026-01-26,3657,completed,Central,Marketplace
74,2025-10-28,7880,completed,South,Website
75,2025-11-17,9232,completed,East,Website
76,2026-02-22,7895,cancelled,South,B2B
77,2025-02-03,4645,shipped,Central,B2B
78,2026-07-15,7332,completed,North,B2B
79,2025-02-26,2920,shipped,West,Marketplace
80,2026-03-03,3584,processing,North,Marketplace
81,2025-12-03,8693,completed,East,B2B
82,2025-10-02,4598,completed,Central,Marketplace
83,2026-01-24,5267,completed,Central,Retail
84,2026-01-28,618,completed,South,Retail
85,2025-07-23,7899,cancelled,North,Retail
